patent_title,IPC_1,IPC_2,IPC_3,IPC_4,inventor_countries,coords
Reference electrode of insulated gate field effect transistor,G01N,,,,"[""JP""]","[[""34.5851"", ""133.772""], [""34.5851"", ""133.772""], [""34.5851"", ""133.772""], [""34.5851"", ""133.772""]]"
Electrically conducting polymers,H01B,,,,"[""US""]","[[""40.9026"", ""-74.4071""], [""40.797"", ""-74.481""]]"
Solderless capillary chips,B32B,A44C,,,"[""JP""]","[[""35.8616"", ""139.646""]]"
Amorphous solar cells,H01L,,,,"[""US""]","[[""37.4443"", ""-122.16""]]"
Static induction transistor logic circuit,H03K,H01L,,,"[""JP""]","[[""38.2678"", ""140.869""], [""38.2678"", ""140.869""]]"
Monolithic focal plane array having on-chip aperture corrector,G11C,H01L,,,"[""US""]","[[""34.0537"", ""-118.243""], [""34.0537"", ""-118.243""]]"
Semiconductor light emitting device,H01S,,,,"[""US""]","[[""40.1117"", ""-88.2073""]]"
Broadband mode suppressor for microwave integrated circuits,H01P,,,,"[""US""]","[[""39.1626"", ""-76.6251""]]"
Light-emitting semiconductor device,H01L,,,,"[""JP"", ""US""]","[[""35.6602"", ""139.283""], [""47.4235"", ""-120.31""], [""35.6602"", ""139.283""]]"
High-frequency phototransistor operated with multiple light sources,H01L,,,,"[""US""]","[[""40.6954"", ""-80.3048""], [""40.4284"", ""-79.6975""]]"
MIS Device having a metal and insulating layer containing at least one cation-trapping element,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.5305"", ""139.703""], [""35.445"", ""139.637""], [""35.5305"", ""139.703""], [""35.5656"", ""139.236""]]"
Field-effect devices,H01L,,,,"[""GB""]","[[""51.2405"", ""-0.168282""]]"
Enhanced thermal transfer package for a semiconductor device,H01L,,,,"[""US""]","[[""43.1348"", ""-76.1299""]]"
Charge coupled device with high speed input and output,G11C,H01L,,,"[""US""]","[[""33.6633"", ""-117.903""], [""33.6633"", ""-117.903""]]"
Method for the salvage and restoration of integrated circuits from a substrate,B23Q,,,,"[""US""]","[[""33.4255"", ""-111.94""]]"
Semiconductor device and process for making the same,H01L,,,,"[""JP""]","[[""35.7525"", ""139.519""], [""35.6602"", ""139.283""], [""35.6828"", ""139.759""], [""35.7097"", ""139.454""], [""35.7994"", ""139.469""]]"
Glass support light energy converter,H01L,,,,"[""US""]","[[""33.0137"", ""-96.6925""], [""32.7763"", ""-96.7969""], [""32.7763"", ""-96.7969""], [""34.6851"", ""-82.8364""], [""32.7763"", ""-96.7969""]]"
Method of manufacturing hybrid integrated circuit assemblies,H05K,,,,"[""JP""]","[[""35.1619"", ""138.676""], [""35.2591"", ""138.459""]]"
Apparatus for screening paste solder onto leaded hybrid substrates,F23J,,,,"[""US""]","[[""37.544"", ""-122.307""]]"
Heat sink,H01L,,,,"[""JP""]","[[""34.7289"", ""135.413""]]"
Method of manufacturing a semiconductor device utilizing a mono-polycrystalline deposition on a predeposited amorphous layer,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Epoxy resin compositions for sealing semiconductors,C08K,,,,"[""JP""]","[[""34.834"", ""135.554""], [""34.834"", ""135.554""], [""34.834"", ""135.554""]]"
Photovoltaic device,H01L,,,,"[""JP""]","[[""34.8699"", ""135.415""], [""34.7862"", ""135.474""], [""34.6932"", ""135.194""], [""34.6938"", ""135.501""]]"
Optocoupler having improved isolation,G02B,,,,"[""US""]","[[""43.0481"", ""-76.1474""]]"
VMOS Memory cell and method for making same,H01L,,,,"[""US""]","[[""37.3362"", ""-121.891""]]"
Serial readout stratified channel CCD,H01L,G11C,,,"[""US""]","[[""33.5073"", ""-96.6127""]]"
Solid-state image pickup device,H01L,,,,"[""JP""]","[[""34.7675"", ""135.634""], [""34.7675"", ""135.634""], [""34.7386"", ""135.339""], [""34.7675"", ""135.634""], [""34.6938"", ""135.501""]]"
High density N-channel silicon gate read only memory,H01L,G11C,,,"[""US""]","[[""29.7589"", ""-95.3677""]]"
CMOS SOS With narrow ring shaped P silicon gate common to both devices,H01L,,,,"[""US""]","[[""40.3493"", ""-74.6593""]]"
V-groove semiconductor device with buried channel stop,H01L,,,,"[""US""]","[[""29.7589"", ""-95.3677""]]"
Electrical contact connected with a semiconductor region which is short circuited with the substrate through said region,H01L,,,,"[""JP""]","[[""34.2484"", ""132.565""], [""35.5305"", ""139.703""]]"
Encapsulated electronic devices and encapsulating compositions having crown ethers,C08G,C08K,C03C,,"[""US""]","[[""40.274"", ""-74.6796""]]"
Leaded mounting and connector unit for an electronic device,H01L,,,,"[""US""]","[[""45.16"", ""-92.9933""]]"
Scanning type readout device,H04M,,,,"[""JP""]","[[""35.42"", ""139.39""], [""35.42"", ""139.39""], [""35.42"", ""139.39""]]"
Solid-state protector circuitry using gated diode switch,H02H,,,,"[""US""]","[[""40.5684"", ""-74.5385""], [""40.6984"", ""-74.4015""], [""40.6723"", ""-74.3574""]]"
Process for producing a semiconductor device,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.445"", ""139.637""]]"
Fabrication of semiconductor devices having planar recessed oxide isolation region,H01L,,,,"[""US""]","[[""40.5743"", ""-74.6099""], [""40.7759"", ""-74.6007""]]"
Method of attaching LED chip to a header,H01L,,,,"[""US""]","[[""32.7174"", ""-117.163""]]"
Process of manufacturing a encapsulated hybrid circuit assembly,H01R,,,,"[""US""]","[[""33.4151"", ""-111.831""]]"
Method of making V-MOS field effect transistors utilizing a two-step anisotropic etching and ion implantation,H01L,,,,"[""US""]","[[""38.9829"", ""-76.8526""]]"
Method of making post-metal ion beam programmable MOS read only memory,H01L,B01J,,,"[""US""]","[[""32.7763"", ""-96.7969""], [""32.9482"", ""-96.7297""]]"
Method of manufacturing a semiconductor device,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""]]"
Integrated circuit with I.sup.2 L and power transistors and method for making,H01L,H03K,,,"[""US""]","[[""42.2838"", ""-71.7173""]]"
Method of forming recessed isolation oxide layers,H01L,,,,"[""US""]","[[""37.3362"", ""-121.891""]]"
Hybrid process for SBD metallurgies,H01L,,,,"[""US""]","[[""41.5793"", ""-73.4957""], [""41.5034"", ""-74.0104""], [""41.7066"", ""-73.9284""]]"
Method of fabricating amorphous memory devices of reduced first fire threshold voltage,H01L,,,,"[""US""]","[[""28.1065"", ""-80.6372""]]"
Tandem junction amorphous silicon solar cells,H01L,,,,"[""US""]","[[""40.2973"", ""-74.7296""]]"
Electronic hybrid circuit package,H05K,,,,"[""US""]","[[""42.4917"", ""-71.2818""], [""42.7246"", ""-70.992""], [""42.539"", ""-71.0481""]]"
Analysis circuit for a charge coupled device,H03K,G11C,H01L,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Thin film varistor,H01C,,,,"[""US""]","[[""43.1065"", ""-76.2177""]]"
16 Bit analog to digital converter,H03K,,,,"[""US""]","[[""34.285"", ""-118.438""]]"
Self-aligned floating gate memory cell and method of manufacture,H01L,,,,"[""US""]","[[""40.571"", ""-111.895""]]"
Laser trim protection process and structure,H01L,,,,"[""US""]","[[""37.2266"", ""-121.975""], [""37.3688"", ""-122.036""], [""37.3362"", ""-121.891""]]"
Semiconductor device and method of manufacturing same,H01L,,,,"[""NL""]","[[""51.8475"", ""5.86378""], [""51.4393"", ""5.47863""]]"
ROM Storage location having more than two states,G11C,,,,"[""US""]","[[""30.2711"", ""-97.7437""]]"
MOS/SOS Process,H01L,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Method for making a closed gate MOS transistor with self-aligned contacts with dual passivation layer,H01L,,,,"[""US""]","[[""40.5743"", ""-74.6099""]]"
Method of laying out an integrated circuit with specific alignment of the collector contact with the emitter region,H01L,,,,"[""US""]","[[""40.5131"", ""-74.8591""]]"
Method and means for measuring moisture content of hermetic semiconductor devices,G01N,,,,"[""US""]","[[""28.0683"", ""-80.5603""], [""27.9947"", ""-80.6366""]]"
Device for holding a disc-shaped semiconductor element,H01L,F28F,,,"[""CH""]","[[""47.4345"", ""8.20298""], [""47.437"", ""8.28995""]]"
Gallium arsenide devices having reduced surface recombination velocity,H01L,,,,"[""US""]","[[""40.5684"", ""-74.5385""], [""40.6834"", ""-74.4426""], [""40.7182"", ""-74.3592""], [""40.6984"", ""-74.4015""], [""42.0268"", ""-93.617""]]"
Method of preparing a monolithic intrinsic infrared focal plane charge coupled device imager,H01L,,,,"[""US""]","[[""38.8051"", ""-77.047""], [""37.2934"", ""-80.0547""]]"
Selective chemical sensitive field effect transistor transducers,G01N,,,,"[""JP""]","[[""34.5851"", ""133.772""], [""34.5851"", ""133.772""], [""34.5851"", ""133.772""], [""34.5851"", ""133.772""]]"
Passivating composite for a semiconductor device comprising a silicon nitride (Si.sub.1 3N.sub.4) layer and phosphosilicate glass (PSG) layer,H01L,,,,"[""US""]","[[""40.3493"", ""-74.6593""], [""40.2415"", ""-75.2838""]]"
Method of forming solder bump terminals on semiconductor elements,H01L,,,,"[""US""]","[[""44.8322"", ""-93.3205""], [""33.4484"", ""-112.074""], [""45.0065"", ""-93.4665""]]"
Solar cell and fabrication thereof using microwaves,H01L,H01G,,,"[""US""]","[[""34.1447"", ""-118.644""]]"
Substrate coupled floating gate memory cell,H03K,H01L,G11C,,"[""US""]","[[""37.3791"", ""-122.117""]]"
Avalanche photodiode with semiconductor hetero structure,H01L,,,,"[""JP"", ""CL""]","[[""35.6828"", ""139.759""], [""35.7355"", ""139.55""], [""-37.9566"", ""-72.4374""]]"
Electrooptical integrated circuit communication,H01L,,,,"[""US""]","[[""41.2709"", ""-73.7776""], [""41.2709"", ""-73.7776""]]"
MOSFET Substrate sensitivity control,H01L,,,,"[""US""]","[[""41.2709"", ""-73.7776""], [""41.3359"", ""-73.874""], [""26.3587"", ""-80.0831""]]"
Explosion proof vibration resistant flat package semiconductor device,H01L,,,,"[""JP""]","[[""34.7862"", ""135.408""]]"
Thick film capacitor having very low internal inductance,H01G,,,,"[""US""]","[[""41.584"", ""-73.8087""], [""41.7066"", ""-73.9284""]]"
Method for making a closed gate MOS transistor with self-aligned contacts,H01L,,,,"[""US""]","[[""40.5743"", ""-74.6099""]]"
Cryogenic chip removal technique,B23K,,,,"[""US""]","[[""41.6541"", ""-73.6668""]]"
Method for the epitaxial manufacture of a semiconductor device having a multi-layer structure,H01L,,,,"[""FR""]","[[""49.1819"", ""-0.182063""]]"
Method of fabricating buried injector memory cell formed from vertical complementary bipolar transistor circuits utilizing mono-poly deposition,H01L,,,,"[""US""]","[[""41.2043"", ""-73.7271""], [""41.2709"", ""-73.7776""], [""41.2898"", ""-73.9205""]]"
Dopant diffusion method of making semiconductor products,H01L,,,,"[""US""]","[[""33.8916"", ""-118.395""]]"
Method for forming ultra fine deep dielectric isolation,H01L,,,,"[""US""]","[[""41.584"", ""-73.8087""], [""41.584"", ""-73.8087""]]"
Method of manufacturing insulated gate semiconductor devices by high pressure thermal oxidation with water vapor,H01L,,,,"[""JP""]","[[""35.5305"", ""139.703""], [""35.445"", ""139.637""], [""35.5305"", ""139.703""], [""35.5305"", ""139.703""], [""35.5642"", ""139.443""]]"
Process for high pressure oxidation of silicon,H01L,,,,"[""JP""]","[[""35.5305"", ""139.703""], [""35.445"", ""139.637""], [""35.5305"", ""139.703""]]"
Process and mask for ion beam etching of fine patterns,B23K,C23F,C23C,H01L,"[""US""]","[[""34.0356"", ""-118.689""]]"
Optically toggled device,G02B,,,,"[""US""]","[[""40.6379"", ""-74.451""]]"
Charge summing filter aperture corrector,G11C,H01L,,,"[""US""]","[[""34.0537"", ""-118.243""], [""33.5017"", ""-117.663""]]"
Gain controlled amplifier using a pin diode,H03G,,,,"[""US""]","[[""40.5131"", ""-74.8591""]]"
Charge-coupled device serial analog-to-digital converter and associated conversion method,H03K,,,,"[""US""]","[[""37.3688"", ""-122.036""]]"
Electro-luminescent semiconductor device,H01L,,,,"[""FR""]","[[""49.1813"", ""-0.363562""]]"
Monolithic opto-isolator,H01L,,,,"[""US""]","[[""40.6554"", ""-74.3899""], [""40.8539"", ""-74.8292""], [""40.5684"", ""-74.5385""], [""40.5684"", ""-74.5385""]]"
Semiconductor timing device with radioactive material at the floating gate electrode of an insulated-gate field-effect transistor,H01L,G01T,G04C,,"[""GB""]","[[""51.1717"", ""-0.164075""]]"
"Monolithic semiconductor pressure sensor, and method of its manufacture",H01L,,,,"[""DE""]","[[""52.5187"", ""13.3996""], [""52.5187"", ""13.3996""]]"
Durable insulating protective layer for hybrid CCD/mosaic IR detector array,H01L,,,,"[""US""]","[[""42.5793"", ""-71.4378""]]"
Thyristor,H01L,,,,"[""JP""]","[[""34.7862"", ""135.408""]]"
Phosphorus-nitrogen-oxygen composition and method for making such composition and applications of the same,H01L,,,,"[""US""]","[[""41.584"", ""-73.8087""]]"
Three-dimensionally structured microelectronic device,H01L,,,,"[""US""]","[[""34.0537"", ""-118.243""], [""34.1706"", ""-118.838""], [""34.0537"", ""-118.243""]]"
Method of making a MOSFET device with reduced sensitivity of threshold voltage to source to substrate voltage variations,H01L,,,,"[""US""]","[[""38.7509"", ""-77.4753""], [""38.7509"", ""-77.4753""]]"
Batch processing of semiconductor devices,H01L,,,,"[""US""]","[[""40.6834"", ""-74.4426""], [""40.6984"", ""-74.4015""]]"
Fabrication of infra-red charge coupled devices,H01L,,,,"[""GB""]","[[""52.084"", ""-2.27426""], [""50.9692"", ""-1.35173""]]"
Semiconductor substrate and a manufacturing method thereof,H01L,,,,"[""JP""]","[[""35.6852"", ""139.573""], [""35.6602"", ""139.283""], [""35.6828"", ""139.759""], [""35.7252"", ""139.477""], [""35.6602"", ""139.283""]]"
Control of surface recombination loss in solar cells,H01L,,,,"[""US""]","[[""41.2588"", ""-73.6854""], [""41.2043"", ""-73.7271""]]"
Cleaning composition and use thereof,C11D,,,,"[""US""]","[[""42.2235"", ""-76.1837""], [""42.0984"", ""-76.0494""], [""42.0984"", ""-76.0494""], [""42.0851"", ""-76.0538""]]"
Photoinduced migration of silver into chalcogenide layer,G03C,,,,"[""US""]","[[""40.5684"", ""-74.5385""], [""40.6834"", ""-74.4426""], [""40.5743"", ""-74.6099""]]"
A contactless resistance potentiometer,H01L,,,,"[""DE""]","[[""50.1394"", ""8.15057""], [""50.1394"", ""8.15057""], [""50.082"", ""8.24166""]]"
Monolithic triple diffusion analog to digital converter,H03K,,,,"[""US""]","[[""33.8916"", ""-118.395""], [""33.8916"", ""-118.395""]]"
Controlled avalanche voltage transistor and magnetic sensor,H01L,,,,"[""US""]","[[""35.7883"", ""-78.7812""]]"
Semiconductor device,H01L,,,,"[""JP""]","[[""35.5305"", ""139.703""], [""35.6828"", ""139.759""], [""35.6382"", ""139.508""], [""35.5305"", ""139.703""]]"
Integrated semiconductor circuit structure and method for making it,H01L,,,,"[""US""]","[[""40.6984"", ""-74.4015""], [""40.6834"", ""-74.4426""], [""40.6984"", ""-74.4015""]]"
Hermetically sealed active microwave integrated circuit,H01L,,,,"[""US""]","[[""37.2638"", ""-122.023""], [""37.3894"", ""-122.083""]]"
A-C Rectifier circuit for powering monolithic integrated circuits,H02M,,,,"[""US""]","[[""40.4564"", ""-74.6595""], [""40.4564"", ""-74.6595""]]"
Merged bipolar/field-effect bistable memory cell,G11C,,,,"[""US""]","[[""37.3227"", ""-122.058""]]"
Electronic watch movement,G04C,,,,"[""CH""]","[[""46.9896"", ""6.92926""]]"
Method for forming buried contact complementary MOS devices,H01L,,,,"[""US""]","[[""40.2973"", ""-74.7296""]]"
Process for making CMOS field-effect transistors,C22B,,,,"[""IT""]","[[""45.4642"", ""9.18963""], [""45.4642"", ""9.18963""]]"
Growth of synthetic diamonds having altered electrical conductivity,H01L,,,,"[""GB""]","[[null, null], [null, null], [""51.8475"", ""-1.35453""]]"
Method of restoring Si crystal lattice order after neutron irradiation,G21G,,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
Process for direct thermal nitridation of silicon semiconductor devices,C01B,B05D,H01L,,"[""US""]","[[""33.8348"", ""-117.912""], [""33.8715"", ""-117.862""]]"
Method of forming transparent conductor pattern,B05D,,,,"[""US""]","[[""33.9316"", ""-117.945""]]"
Ceramic substrate,B32B,,,,"[""JP""]","[[""35.0853"", ""135.968""], [""35.0853"", ""135.968""]]"
Charge coupled device variable divider with integrating well,G11C,H01L,,,"[""US""]","[[""33.7483"", ""-118.371""]]"
Semiconductor integrated injection logic structure controlled by the injector,H03K,H01L,G11C,,"[""FR""]","[[""48.5361"", ""2.52735""], [""48.6539"", ""2.41512""]]"
Charge comparator output driver,H03K,G11C,H01L,,"[""US""]","[[""33.9189"", ""-118.348""], [""44.0505"", ""-123.095""]]"
Mode control of heterojunction injection lasers and method of fabrication,H01S,,,,"[""US""]","[[""37.3791"", ""-122.117""], [""37.4443"", ""-122.16""], [""37.3797"", ""-122.137""]]"
Piggyback readout stratified channel CCD,H01L,G11C,,,"[""US""]","[[""33.5073"", ""-96.6127""]]"
Photodiode having enhanced long wavelength response,H01L,,,,"[""CA""]","[[""45.429"", ""-73.8654""]]"
Structure for logic circuits,H01L,,,,"[""FR""]","[[""48.8535"", ""2.34839""]]"
Color solid-state imaging device,H04N,,,,"[""JP""]","[[""35.6602"", ""139.283""], [""35.6828"", ""139.759""], [""35.6828"", ""139.759""], [""35.7252"", ""139.477""], [""35.6602"", ""139.283""]]"
"Process for fabrication of high density VLSI circuits, having self-aligned gates and contacts for FET devices and conducting lines",H01L,,,,"[""US""]","[[""33.7495"", ""-117.873""]]"
Method of producing a metal-semiconductor field-effect transistor,B01J,H01L,,,"[""US""]","[[""33.7746"", ""-117.946""]]"
Integrated circuit manufacturing method,H01L,,,,"[""US""]","[[""42.4851"", ""-71.4328""]]"
Method for forming an improved gate member utilizing special masking and oxidation to eliminate projecting points on silicon islands,H01L,,,,"[""US""]","[[""40.2973"", ""-74.7296""]]"
Method for low temperature bonding of silicon and silicon on sapphire and spinel to nickel and nickel steel and apparatus using such _a bonding technique,B23K,H05K,,,"[""US""]","[[""40.144"", ""-75.1157""]]"
Monolithic series-connected solar cell,H01L,,,,"[""US""]","[[""37.452"", ""-122.178""]]"
Device for conversion of electromagnetic radiation into electrical current,H01L,,,,"[""US""]","[[""37.4699"", ""-105.87""], [""39.7546"", ""-105.221""]]"
Forming of contoured irradiated regions in materials such as semiconductor bodies by nuclear radiation,H01L,,,,"[""US""]","[[""40.6954"", ""-80.3048""], [""40.4212"", ""-79.7881""]]"
Method of making ion implanted reverse-conducting thyristor,H01L,,,,"[""US""]","[[""40.5003"", ""-79.7495""], [""40.4212"", ""-79.7881""]]"
Sequentially annealed oxidation of silicon to fill trenches with silicon dioxide,H01L,,,,"[""US""]","[[""40.6022"", ""-75.4713""], [""40.6022"", ""-75.4713""], [""40.2294"", ""-74.9365""]]"
Encapsulated electronic devices and encapsulating compositions,C08G,,,,"[""US""]","[[""40.274"", ""-74.6796""]]"
Schottky barrier solar cell,H01L,,,,"[""US""]","[[""33.7458"", ""-117.826""], [""33.7458"", ""-117.826""], [""34.0195"", ""-118.491""]]"
Process for fabricating solar cells and the product produced thereby,H01L,,,,"[""US""]","[[""47.6038"", ""-122.33""], [""47.3075"", ""-122.23""]]"
Large scale semiconductor integrated circuit device,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.6828"", ""139.759""], [""35.5305"", ""139.703""]]"
Semiconductor laser structure and manufacture,H01S,,,,"[""DE""]","[[""48.3955"", ""10.0059""], [""49.6588"", ""8.99519""], [""48.3974"", ""9.99343""]]"
Monolithic integrated circuit structure incorporating Schottky contact diode bridge rectifier,H01L,,,,"[""US""]","[[""42.5751"", ""-71.0787""]]"
Semiconductor diode,H01L,,,,[],"[[null, null]]"
Junction isolated IC with thick EPI portion having sides at least 20 degrees from (110) orientations,H01L,,,,"[""JP""]","[[""35.6602"", ""139.283""], [""33.8395"", ""132.765""], [""35.6828"", ""139.759""]]"
Semiconductor device for providing a selectable reference voltage,H01L,,,,"[""US""]","[[""32.8326"", ""-117.272""], [""32.7174"", ""-117.163""]]"
Semiconductor device having cross wires,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.5305"", ""139.703""]]"
"Low thermal resistance, low stress semiconductor package",H01L,,,,"[""US""]","[[""42.947"", ""-76.4291""]]"
IC Package with heat sink and minimal cross-sectional area,H01L,,,,"[""US""]","[[""33.1434"", ""-117.166""], [""32.7425"", ""-117.031""]]"
Fabrication of a nonvolatile memory array device,H01L,,,,"[""US""]","[[""33.8348"", ""-117.912""], [""33.8715"", ""-117.862""]]"
Method of making integrated waveguide cavities,H01P,,,,"[""US""]","[[""33.8358"", ""-118.341""], [""33.8358"", ""-118.341""], [""44.9405"", ""-93.4639""]]"
Charge coupled device temperature gradient and moisture regulator,F25B,F28F,H01L,,"[""US""]","[[""28.5421"", ""-81.379""]]"
Device for transmitting and receiving optical data on the same optical transmission line,G02B,,,,"[""US""]","[[""40.797"", ""-74.481""]]"
Semiconductor device manufacturing methods utilizing a predetermined flow of reactive substance over a dopant material,H01L,,,,"[""US""]","[[""42.3834"", ""-71.4162""]]"
Method for manufacturing a semiconductor device utilizing dopant predeposition and polycrystalline deposition,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""]]"
Method of improving silicon crystal perfection in silicon on sapphire devices,C30B,,,,"[""US""]","[[""40.3493"", ""-74.6593""], [""40.3162"", ""-74.5138""]]"
High-radiance emitters with integral microlens,H01L,,,,"[""US""]","[[""32.7763"", ""-96.7969""]]"
Glass encapsulation of semiconductor devices,C03C,H01B,,,"[""GB""]","[[""51.3814"", ""-2.3597""], [""51.7345"", ""0.473053""], [null, null]]"
Method of forming thin niobium carbonitride superconducting films of exceptional purity,C23C,,,,"[""US""]","[[""39.0046"", ""-76.8757""], [""38.895"", ""-77.0365""]]"
Charge transfer apparatus,G11C,H01L,,,"[""US""]","[[""42.8142"", ""-73.9396""], [""42.8265"", ""-73.9643""]]"
Semiconductor charge transfer device having a decoupling gate for stopping reverse charge flow,G11C,H01L,,,"[""JP""]","[[""35.5305"", ""139.703""]]"
Bulk channel charge coupled device having improved input linearity,G11C,H01L,,,"[""NL""]","[[""51.4393"", ""5.47863""]]"
Balanced input buffer circuit for semiconductor memory,H03K,,,,"[""US""]","[[""29.6197"", ""-95.6349""], [""29.7589"", ""-95.3677""], [""29.6197"", ""-95.6349""]]"
Pleochroic light emitting diode and method of fabricating the same,H01L,,,,"[""JP""]","[[""35.7097"", ""139.454""], [""35.6828"", ""139.759""], [""35.7097"", ""139.454""], [""35.6828"", ""139.759""], [""35.6602"", ""139.283""]]"
Multi-lead frame member with means for limiting mold spread,H01L,,,,"[""JP""]","[[""34.6845"", ""135.805""], [""34.6493"", ""135.783""], [""35.021"", ""135.756""]]"
Time delay and integration detectors using charge transfer devices,H04N,,,,"[""US""]","[[""36.8031"", ""-98.666""], [""39.2673"", ""-76.7983""], [""39.1626"", ""-76.6251""], [""39.2156"", ""-76.8582""]]"
Quantizing circuits,G06G,,,,"[""US""]","[[""40.3162"", ""-74.5138""]]"
Three level interconnect process for manufacture of integrated circuit devices,H01L,,,,"[""US""]","[[""29.7589"", ""-95.3677""], [""29.7589"", ""-95.3677""], [""29.8433"", ""-96.3255""]]"
Method for preparing complementary semiconductor device,H01L,,,,"[""JP""]","[[""35.445"", ""139.637""], [""35.445"", ""139.637""], [""35.6828"", ""139.759""]]"
Manufacture of monolithic LED arrays for electroluminescent display devices,H01L,,,,"[""GB""]","[[""51.5811"", ""-0.337475""]]"
Method of manufacturing a semiconductor device having conductive and insulating portions formed of a common material utilizing selective oxidation and angled ion-implantation,H01L,,,,"[""JP""]","[[""35.5305"", ""139.703""], [""35.5305"", ""139.703""], [""35.5305"", ""139.703""]]"
Method of making a dual DMOS device by ion implantation and diffusion,H01L,,,,"[""US""]","[[""44.467"", ""-73.171""], [""41.5704"", ""-73.7454""], [""37.2638"", ""-122.023""]]"
Method of manufacturing a semiconductor device by retarding the diffusion of zinc or cadmium into a device region,H01L,,,,"[""NL""]","[[""51.4393"", ""5.47863""], [""51.4393"", ""5.47863""]]"
Method of and apparatus for active electro-chemical water and similar environmental contaminant elimination in semi-conductor and other electronic and electrical devices and the like,C25B,C25F,,,"[""US""]","[[""42.7654"", ""-71.4397""]]"
Method of coating with a stoichiometric compound,B05D,C23C,H01L,,"[""JP""]","[[""35.4285"", ""140.288""], [""34.9244"", ""135.68""], [""35.4285"", ""140.288""]]"
Photovoltaic device and method of manufacturing thereof,H01L,,,,"[""JP""]","[[""34.8813"", ""135.601""], [""34.8182"", ""135.659""], [""35.1851"", ""136.9""]]"
Process for the manufacture of electrical contacts upon semiconductor components,B23K,,,,"[""CH"", ""US""]","[[""47.4737"", ""8.30868""], [""34.1476"", ""-118.144""]]"
Applications of dual function electro-optic transducer in optical signal transmission,H01L,,,,"[""US""]","[[""39.1399"", ""-77.1929""]]"
Self scanned photosensitive array,H01J,,,,"[""US""]","[[""43.1301"", ""-77.476""]]"
Thyristor element with short turn-off time and method for producing such element,H01L,,,,"[""DE""]","[[""51.4458"", ""8.35368""], [""51.4458"", ""8.35368""]]"
Virtual ground MOS EPROM or ROM matrix,G11C,,,,"[""US""]","[[""29.7589"", ""-95.3677""], [""29.6186"", ""-95.5377""]]"
Method of fabricating a diode bridge rectifier in monolithic integrated circuit structure utilizing isolation diffusions and metal semiconductor rectifying barrier diode formation,H01L,,,,"[""US""]","[[""42.3913"", ""-71.5678""], [""42.3096"", ""-71.4413""]]"
Apparatus for the production of energy and method for utilizing the pressure and/or temperature conditions in deep waters,F03G,,,,"[""AT""]","[[""48.1792"", ""16.0771""]]"
Process for reducing the interdiffusion of conductors and/or semiconductors in contact with each other,H01L,B32B,,,"[""US""]","[[""41.2898"", ""-73.9205""]]"
Pb.sub.1-W Cd.sub.W S Epitaxial thin film,H01L,,,,"[""US""]","[[""38.9959"", ""-77.0276""], [""39.1791"", ""-76.9576""]]"
Flame retardant epoxy molding compound method and encapsulated device,C08L,,,,"[""US""]","[[""41.6529"", ""-83.5378""], [""41.7189"", ""-83.713""], [""41.6529"", ""-83.5378""]]"
Method for determining silicon content in layers of aluminum and silicon,B05D,C23F,,,"[""US""]","[[""40.5131"", ""-74.8591""]]"
Method of depositing a silicon oxide dielectric layer,B05D,,,,"[""US""]","[[""40.3334"", ""-74.6004""], [""40.3493"", ""-74.6593""]]"
Method for forming an insulating film layer of silicon oxynitride on a semiconductor substrate surface,H01L,,,,"[""JP""]","[[""35.5305"", ""139.703""], [""35.445"", ""139.637""]]"
"Barium aluminosilicate glasses, glass-ceramics and dopant",H01L,,,,"[""US""]","[[""41.6437"", ""-83.4869""]]"
High density floating gate EPROM programmable by charge storage,H03K,G11C,H01L,,"[""US""]","[[""29.7589"", ""-95.3677""]]"
Pulse count type FM demodulator circuit,H03D,H03K,,,"[""JP""]","[[""35.445"", ""139.637""]]"
Silicon MOS inductor,H01L,,,,"[""US""]","[[""40.3493"", ""-74.6593""]]"
Method of integrating semiconductor components,H01L,,,,"[""US""]","[[""40.5743"", ""-74.6099""], [""41.9512"", ""-76.7944""]]"
Field effect transistor with decreased substrate control of the channel width,H01L,,,,"[""DE""]","[[""48.1371"", ""11.5754""]]"
FET Containing stacked gates,H01L,,,,"[""US""]","[[""41.2709"", ""-73.7776""], [""41.2709"", ""-73.7776""], [""41.2084"", ""-73.8902""]]"
Planar P-I-N photodetectors,H01L,,,,"[""US""]","[[""40.6984"", ""-74.4015""]]"
Interference-potential-compensated thyristor comprising at least four zones of different type of conductivity,H01L,,,,"[""DE""]","[[""50.0727"", ""8.84778""], [""50.1426"", ""8.57163""], [""50.0552"", ""8.69574""]]"
